Geolocation,Commodity,Date_String,Price,Parent_Class,Date,Month_Index
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 January,32.66,Siling Labuyo (Predictive Benchmark),2022-01-01,12
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 February,37.09,Siling Labuyo (Predictive Benchmark),2022-02-01,13
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 March,35.65,Siling Labuyo (Predictive Benchmark),2022-03-01,14
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 April,45.82,Siling Labuyo (Predictive Benchmark),2022-04-01,15
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 May,58.75,Siling Labuyo (Predictive Benchmark),2022-05-01,16
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 June,61.61,Siling Labuyo (Predictive Benchmark),2022-06-01,17
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 July,62.76,Siling Labuyo (Predictive Benchmark),2022-07-01,18
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 August,63.76,Siling Labuyo (Predictive Benchmark),2022-08-01,19
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 September,43.26,Siling Labuyo (Predictive Benchmark),2022-09-01,20
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 October,52.6,Siling Labuyo (Predictive Benchmark),2022-10-01,21
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 November,82.03,Siling Labuyo (Predictive Benchmark),2022-11-01,22
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 December,97.12,Siling Labuyo (Predictive Benchmark),2022-12-01,23
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 January,81.5,Siling Labuyo (Predictive Benchmark),2023-01-01,24
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 February,72.88,Siling Labuyo (Predictive Benchmark),2023-02-01,25
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 March,68.86,Siling Labuyo (Predictive Benchmark),2023-03-01,26
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 April,71.78,Siling Labuyo (Predictive Benchmark),2023-04-01,27
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 May,57.59,Siling Labuyo (Predictive Benchmark),2023-05-01,28
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 June,47.28,Siling Labuyo (Predictive Benchmark),2023-06-01,29
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 July,43.85,Siling Labuyo (Predictive Benchmark),2023-07-01,30
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 August,47.36,Siling Labuyo (Predictive Benchmark),2023-08-01,31
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 September,47.41,Siling Labuyo (Predictive Benchmark),2023-09-01,32
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 October,53.26,Siling Labuyo (Predictive Benchmark),2023-10-01,33
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 November,42.78,Siling Labuyo (Predictive Benchmark),2023-11-01,34
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 December,40.92,Siling Labuyo (Predictive Benchmark),2023-12-01,35
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 January,76.6,Siling Labuyo (Predictive Benchmark),2024-01-01,36
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 February,94.64,Siling Labuyo (Predictive Benchmark),2024-02-01,37
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 March,98.89,Siling Labuyo (Predictive Benchmark),2024-03-01,38
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 April,115.0,Siling Labuyo (Predictive Benchmark),2024-04-01,39
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 May,105.0,Siling Labuyo (Predictive Benchmark),2024-05-01,40
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 June,105.0,Siling Labuyo (Predictive Benchmark),2024-06-01,41
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 July,60.0,Siling Labuyo (Predictive Benchmark),2024-07-01,42
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 August,90.0,Siling Labuyo (Predictive Benchmark),2024-08-01,43
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 September,36.36,Siling Labuyo (Predictive Benchmark),2024-09-01,44
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 October,49.75,Siling Labuyo (Predictive Benchmark),2024-10-01,45
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 November,176.88,Siling Labuyo (Predictive Benchmark),2024-11-01,46
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 December,64.09,Siling Labuyo (Predictive Benchmark),2024-12-01,47
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 January,85.0,Siling Labuyo (Predictive Benchmark),2025-01-01,48
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 February,598.0,Siling Labuyo (Predictive Benchmark),2025-02-01,49
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 March,115.0,Siling Labuyo (Predictive Benchmark),2025-03-01,50
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 April,150.0,Siling Labuyo (Predictive Benchmark),2025-04-01,51
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 May,50.0,Siling Labuyo (Predictive Benchmark),2025-05-01,52
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 June,30.0,Siling Labuyo (Predictive Benchmark),2025-06-01,53
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 July,58.44,Siling Labuyo (Predictive Benchmark),2025-07-01,54
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 August,50.68,Siling Labuyo (Predictive Benchmark),2025-08-01,55
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 September,53.53,Siling Labuyo (Predictive Benchmark),2025-09-01,56
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 October,75.0,Siling Labuyo (Predictive Benchmark),2025-10-01,57
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 November,100.0,Siling Labuyo (Predictive Benchmark),2025-11-01,58
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 December,100.0,Siling Labuyo (Predictive Benchmark),2025-12-01,59
MIMAROPA REGION,"Garlic, dried bulb",2021 March,113.21,Garlic (Dried Bulb),2021-03-01,2
MIMAROPA REGION,"Garlic, dried bulb",2021 April,75.73,Garlic (Dried Bulb),2021-04-01,3
MIMAROPA REGION,"Garlic, dried bulb",2021 May,82.66,Garlic (Dried Bulb),2021-05-01,4
MIMAROPA REGION,"Garlic, dried bulb",2021 June,100.0,Garlic (Dried Bulb),2021-06-01,5
MIMAROPA REGION,"Garlic, dried bulb",2022 January,75.0,Garlic (Dried Bulb),2022-01-01,12
MIMAROPA REGION,"Garlic, dried bulb",2022 February,58.85,Garlic (Dried Bulb),2022-02-01,13
MIMAROPA REGION,"Garlic, dried bulb",2022 March,107.45,Garlic (Dried Bulb),2022-03-01,14
MIMAROPA REGION,"Garlic, dried bulb",2022 April,110.03,Garlic (Dried Bulb),2022-04-01,15
MIMAROPA REGION,"Garlic, dried bulb",2022 May,118.29,Garlic (Dried Bulb),2022-05-01,16
MIMAROPA REGION,"Garlic, dried bulb",2022 July,81.05,Garlic (Dried Bulb),2022-07-01,18
MIMAROPA REGION,"Garlic, dried bulb",2022 August,67.27,Garlic (Dried Bulb),2022-08-01,19
MIMAROPA REGION,"Garlic, dried bulb",2022 September,63.33,Garlic (Dried Bulb),2022-09-01,20
MIMAROPA REGION,"Garlic, dried bulb",2022 October,70.0,Garlic (Dried Bulb),2022-10-01,21
