Geolocation,Commodity,Date_String,Price,Date,Month_Index
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 January,32.66,1/1/2022,12
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 February,37.09,2/1/2022,13
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 March,35.65,3/1/2022,14
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 April,45.82,4/1/2022,15
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 May,58.75,5/1/2022,16
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 June,61.61,6/1/2022,17
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 July,62.76,7/1/2022,18
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 August,63.76,8/1/2022,19
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 September,43.26,9/1/2022,20
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 October,52.6,10/1/2022,21
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 November,82.03,11/1/2022,22
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 December,97.12,12/1/2022,23
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 January,81.5,1/1/2023,24
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 February,72.88,2/1/2023,25
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 March,68.86,3/1/2023,26
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 April,71.78,4/1/2023,27
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 May,57.59,5/1/2023,28
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 June,47.28,6/1/2023,29
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 July,43.85,7/1/2023,30
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 August,47.36,8/1/2023,31
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 September,47.41,9/1/2023,32
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 October,53.26,10/1/2023,33
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 November,42.78,11/1/2023,34
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 December,40.92,12/1/2023,35
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 January,76.6,1/1/2024,36
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 February,94.64,2/1/2024,37
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 March,98.89,3/1/2024,38
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 April,115,4/1/2024,39
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 May,105,5/1/2024,40
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 June,105,6/1/2024,41
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 July,60,7/1/2024,42
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 August,90,8/1/2024,43
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 September,36.36,9/1/2024,44
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 October,49.75,10/1/2024,45
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 November,176.88,11/1/2024,46
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 December,64.09,12/1/2024,47
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 January,85,1/1/2025,48
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 February,598,2/1/2025,49
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 March,115,3/1/2025,50
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 April,150,4/1/2025,51
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 May,50,5/1/2025,52
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 June,30,6/1/2025,53
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 July,58.44,7/1/2025,54
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 August,50.68,8/1/2025,55
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 September,53.53,9/1/2025,56
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 October,75,10/1/2025,57
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 November,100,11/1/2025,58
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 December,100,12/1/2025,59
MIMAROPA REGION,"Garlic, dried bulb",2021 March,113.21,3/1/2021,2
