Geolocation,Commodity,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December
..MIMAROPA REGION,"Garlic, dried bulb",0,0,113.21,75.73,82.66,100,0,0,0,0,0,0,75,58.85,107.45,110.03,118.29,0,81.05,67.27,63.33,70,0,0,0,71.57,102.69,110.31,64.9,0,0,35,0,0,0,0,0,0,150,85,80,80,0,0,0,0,0,0,0,0,0,93.33,85,80,0,0,0,0,0,0
..MIMAROPA REGION,"Ginger, Hawaiian",45.44,43.98,55.87,49.93,54.69,61.72,66.07,71.2,45.43,40.6,33.51,32.18,29.91,31.44,31.64,33.7,37.41,34.33,29.65,26.72,28.79,28.33,28.91,27.39,28.1,24.03,23.42,23.1,22.96,23.91,22.46,25.08,24.59,28.6,24.7,26.45,27.5,25,22.5,25,25,30,30,27.5,28.5,20,25,25,30,28,22,30,30,35,30,30,35,37.5,35,35
..MIMAROPA REGION,"Ginger, Native",80,61.1,71.32,75.35,81.29,96.05,82.64,60.89,84.08,75.71,60.85,51.09,42.63,49.9,47.78,49.6,53.09,52.18,46.1,54.17,51.99,57.36,60.48,62.19,53.44,43.32,31.41,31.33,36.24,30.78,32.61,39.89,53.57,51.74,51.77,45.44,40,45,40,46.68,50,50,58.21,54.8,50,80,0,0,0,115.87,89.25,20,65,65,90,60,60,50,40,63.33
..MIMAROPA REGION,Spring onion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..MIMAROPA REGION,Onion Leeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.67,0,0,0,0,0,0,0,0,0,0,0,54.74,55,18.56,0,0,0,0,0,0,0,0,0,0,44,45,50,0,0,0,0,0,92.41,0
..MIMAROPA REGION,"Onion, red creole (Bermuda red)",0,60,41.02,39.94,50.91,46.42,0,0,0,0,0,0,125.65,24.02,16.68,22.66,25.54,31.26,0,0,0,0,0,0,150.43,64.3,46.45,63.79,60.31,0,0,0,0,0,0,0,0,34,32.59,40,50,0,0,0,0,0,0,0,0,44.27,43.62,45.1,47,0,0,51.89,0,53.51,52.5,0
..MIMAROPA REGION,"Onion, yellow granex (Bermuda white)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,65,0,0,0,0,0,0,0
..MIMAROPA REGION,"Pepper, bell",87.12,80.54,70.16,72.29,53.09,54.49,49.94,78.07,88.26,71.17,125.92,139.89,90.48,101.93,80.05,63.06,65.54,51.1,99.21,107.25,84.58,94.62,91.16,117.53,125.42,103.25,100,84.06,97.95,86.34,79.82,87.99,93.93,80.63,85.23,100.34,200,200,0,150,150,160,125,125,127.5,0,60,0,0,0,0,160,170,175,175,100,175,175,180,182
..MIMAROPA REGION,"Pepper, finger",88.64,57.13,38.83,34.26,29.16,34.25,30.09,45.45,46.01,51.51,58.6,55.96,49.52,55.27,50.73,46.97,46.56,45.31,51.29,46.45,45.25,46.64,56.89,66.89,71.8,55.02,55.2,45.37,40.19,40.77,49,57.4,57.74,49.32,56.9,53.96,38.5,42.43,53.55,33.98,33.64,34.09,46.22,49.67,29.34,61.09,63.52,100,104.55,101.76,14.43,47.91,51.68,43.64,28,99.09,32.36,83.28,102.71,75
..MIMAROPA REGION,Paminta [Black pepper],313.33,263.01,282.22,289.62,293.4,296.05,327.94,267.06,285.09,262.04,227.18,264.83,293.08,289.72,212.88,268.62,265.46,244.68,288.57,311.77,267.27,268.1,273.73,279.73,330.61,311.8,288.96,267.08,226.79,257.96,309.29,295.33,293.49,297.14,316.89,313.87,330,320,320,500,500,400,280,280,227.12,0,0,0,232.5,222.5,207.5,350,380,400,400,380,350,380,400,400
..MIMAROPA REGION,Chili pepper fruit (Siling labuyo),0,0,0,0,0,0,0,0,0,0,0,0,32.66,37.09,35.65,45.82,58.75,61.61,62.76,63.76,43.26,52.6,82.03,97.12,81.5,72.88,68.86,71.78,57.59,47.28,43.85,47.36,47.41,53.26,42.78,40.92,76.6,94.64,98.89,115,105,105,60,90,36.36,49.75,176.88,64.09,85,598,115,150,50,30,58.44,50.68,53.53,75,100,100
....Marinduque,"Garlic, dried bulb",0,0,195,0,0,0,0,0,0,0,0,0,0,0,195.38,165.11,140,0,0,0,0,0,0,0,0,0,162.5,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,"Ginger, Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,"Ginger, Native",80,61.1,71.32,75.35,81.29,96.05,82.64,60.89,84.08,75.71,60.85,51.09,42.63,49.9,47.78,49.6,53.09,52.18,46.1,54.17,51.99,57.36,60.48,62.19,53.44,43.32,31.41,31.33,36.24,30.78,32.61,39.89,53.57,51.74,51.77,45.44,40,40,40,0,0,0,50,50,50,80,0,0,0,0,0,0,0,0,0,0,0,90,90,90
....Marinduque,Spring onion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,Onion Leeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,"Onion, red shallot (Sibuyas Tagalog)",0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,"Onion, red creole (Bermuda red)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,"Onion, yellow granex (Bermuda white)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,"Pepper, bell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,"Pepper, finger",151.17,99.52,55.49,54.46,52.54,54.21,49.77,53.55,50.17,55.22,53.66,55.56,54.25,58.39,59.55,62,54.69,56.14,59.25,55.45,56.32,65.26,70.91,77.56,94.42,75.49,90.38,64.88,51.73,54.91,63.14,65.89,77.97,67.26,72.24,74.82,46.3,46.3,50,0,0,0,70,70,0,83.28,100,100,90,100,100,60,60,64.19,0,0,0,67.73,70,70
....Marinduque,Paminta [Black pepper],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Marinduque,Chili pepper fruit (Siling labuyo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Occidental Mindoro,"Garlic, dried bulb",0,0,74.63,50.36,69.65,0,0,0,0,0,0,0,75,0,88.24,0,143.65,0,81.05,67.27,63.33,70,0,0,0,0,86.49,0,0,0,0,35,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,80,90,80,0,0,0,0,0,0
....Occidental Mindoro,"Ginger, Hawaiian",52.69,39.54,65.92,60.59,64.48,60,76.24,83.01,52.93,46.42,24.68,20.82,27.83,29.44,34.95,42.62,44.62,36.95,31.17,28.28,34.67,27.6,25.99,24.26,23.99,23.88,21.75,22.87,20.39,22.9,23.29,27.96,27.07,27.23,23.16,24.08,0,0,0,0,0,0,0,0,0,20,25,25,0,0,0,0,0,0,0,0,0,35,30,30
....Occidental Mindoro,"Ginger, Native",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,69.63,59.4,0,0,0,0,0,50,0,70,70,70,90,0,0,50,0,0
....Occidental Mindoro,Spring onion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Occidental Mindoro,Onion Leeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Occidental Mindoro,"Onion, red shallot (Sibuyas Tagalog)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.67,0,0,0,0,0,0,0,0,0,0,0,54.74,55,18.56,0,0,0,0,0,0,0,0,0,0,44,45,50,0,0,0,0,0,92.41,0
....Occidental Mindoro,"Onion, red creole (Bermuda red)",0,60,42.74,40.61,47.44,39.66,0,0,0,0,0,0,125.65,24.44,16.75,17.67,21.32,31.26,0,0,0,0,0,0,150.43,79.93,52.16,70.08,64.39,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,44.27,43.55,45.1,47,0,0,51.89,0,53.51,52.5,0
....Occidental Mindoro,"Onion, yellow granex (Bermuda white)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,65,0,0,0,0,0,0,0
....Occidental Mindoro,"Pepper, bell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Occidental Mindoro,"Pepper, finger",72.96,29.45,17.26,11.92,9.75,24.05,18.38,36.26,28.73,43.65,42.42,39.45,30.49,47.24,31.71,39.89,42.39,32.7,45.09,29.74,35.2,46.18,78.61,70.57,50.98,27.78,17.28,20.11,28.26,35.78,48.4,68,64.83,34.54,51.32,34.77,0,0,0,0,0,0,18.67,18.67,18.67,20,30,0,0,0,14.43,43.44,55.51,10,0,120,0,93.19,100,0
....Occidental Mindoro,Paminta [Black pepper],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
